NIK,Jenis Pekerjaan,Jumlah Penghasilan,Jumlah Tanggungan,Kondisi Rumah,Kepemilikan Rumah,Jaringan Listrik,Sumber Air,Umur,Ranking,Status kelayakan
1234561034770059,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Milik Sendiri,Air Sungai ,>=35 s/d <=50,"0,846",Layak
1234561034770060,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Sewa,Air Sumur,>=35 s/d <=50,"0,85",Layak
1234561034770061,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Sewa,PDAM,>=35 s/d <=50,"0,8375",Layak
1234561034770062,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Milik Sendiri,Air Sumur,>=35 s/d <=50,"0,8335",Layak
1234561034770063,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Tidak Ada,Air Sungai ,>=35 s/d <=50,"0,854",Layak
1234561034770064,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Tidak Ada,Air Sungai ,>=35 s/d <=50,"0,829",Layak
1234561034770065,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Sewa,Air Sungai ,>=35 s/d <=50,"0,8375",Layak
1234561034770066,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Tidak Ada,Air Sumur,>=35 s/d <=50,"0,8415",Layak
1234561034770067,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Tidak Ada,PDAM,>=35 s/d <=50,"0,829",Layak
1234561034770068,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Milik Sendiri,Air Sungai ,>=35 s/d <=50,"0,821",Layak
1234561034770069,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Sewa,Air Sumur,>=35 s/d <=50,"0,825",Layak
1234561034770070,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Sewa,PDAM,>=35 s/d <=50,"0,8125",Layak
1234561034770071,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Milik Sendiri,Air Sumur,>=35 s/d <=50,"0,8085",Layak
1234561034770072,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Milik Sendiri,PDAM,>=35 s/d <=50,"0,796",Tidak Layak
1234561034770073,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Milik Sendiri,PDAM,>=35 s/d <=50,"0,821",Layak
1234561034770074,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Milik Sendiri,PDAM,>=35 s/d <=50,"0,771",Tidak Layak
1234561034770075,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Tidak Ada,Air Sumur,>=35 s/d <=50,"0,8165",Layak
1234561034770076,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Tidak Ada,PDAM,>=35 s/d <=50,"0,804",Layak
1234561034770077,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Sewa,Air Sungai ,>=35 s/d <=50,"0,8125",Layak
1234561034770078,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Milik Sendiri,Air Sungai ,>=35 s/d <=50,"0,796",Tidak Layak
1234561034770079,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Sewa,Air Sumur,>=35 s/d <=50,"0,8",Layak
1234561034770080,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Sewa,PDAM,>=35 s/d <=50,"0,7875",Tidak Layak
1234561034770081,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Milik Sendiri,Air Sumur,>=35 s/d <=50,"0,8335",Layak
1234561034770082,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Tidak Ada,Air Sungai ,>50,"0,9415",Layak
1234561034770083,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Tidak Ada,Air Sumur,>50,"0,929",Layak
1234561034770084,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Tidak Ada,PDAM,>50,"0,9165",Layak
1234561034770085,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Sewa,Air Sungai ,>50,"0,925",Layak
1234561034770086,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Milik Sendiri,Air Sungai ,>50,"0,9085",Layak
1234561034770087,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Sewa,Air Sumur,>50,"0,9125",Layak
1234561034770088,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Sewa,PDAM,>50,"0,9",Layak
1234561034770089,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Milik Sendiri,Air Sumur,>50,"0,896",Layak
1234561034770090,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Tidak Ada,Air Sungai ,>50,"0,9165",Layak
1234561034770091,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Tidak Ada,Air Sungai ,>50,"0,8915",Layak
1234561034770092,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Sewa,Air Sungai ,>50,"0,9",Layak
1234561034770093,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Tidak Ada,Air Sumur,>50,"0,904",Layak
1234561034770094,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Tidak Ada,PDAM,>50,"0,8915",Layak
1234561034770095,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Milik Sendiri,Air Sungai ,>50,"0,8835",Layak
1234561034770096,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Sewa,Air Sumur,>50,"0,8875",Layak
1234561034770097,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Sewa,PDAM,>50,"0,875",Layak
1234561034770098,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Milik Sendiri,Air Sumur,>50,"0,871",Layak
1234561034770099,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Milik Sendiri,PDAM,>50,"0,8585",Layak
1234561034770100,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Milik Sendiri,PDAM,>50,"0,8835",Layak
1234561034770101,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Milik Sendiri,PDAM,>50,"0,8335",Layak
1234561034770102,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Tidak Ada,Air Sumur,>50,"0,879",Layak
1234561034770103,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Tidak Ada,PDAM,>50,"0,8665",Layak
1234561034770104,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Sewa,Air Sungai ,>50,"0,875",Layak
1234561034770105,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Milik Sendiri,Air Sungai ,>50,"0,8585",Layak
1234561034770106,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Sewa,Air Sumur,>50,"0,8625",Layak
1234561034770107,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Sewa,PDAM,>50,"0,85",Layak
1234561034770108,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Milik Sendiri,Air Sumur,>50,"0,896",Layak
1234561034770109,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Tidak Ada,Air Sungai ,<25,"0,729",Tidak Layak
1234561034770110,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Tidak Ada,Air Sumur,<25,"0,7165",Tidak Layak
1234561034770111,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Tidak Ada,PDAM,<25,"0,704",Tidak Layak
1234561034770112,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Sewa,Air Sungai ,<25,"0,7125",Tidak Layak
1234561034770113,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Milik Sendiri,Air Sungai ,<25,"0,696",Tidak Layak
1234561034770114,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Sewa,Air Sumur,<25,"0,7",Tidak Layak
1234561034770115,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Sewa,PDAM,<25,"0,6875",Tidak Layak
1234561034770116,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Milik Sendiri,Air Sumur,<25,"0,6835",Tidak Layak
1234561034770117,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Sewa,Tidak Ada,Air Sungai ,<25,"0,704",Tidak Layak
1234561034770118,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Milik Sendiri,Tidak Ada,Air Sungai ,<25,"0,679",Tidak Layak
1234561034770119,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Sewa,Sewa,Air Sungai ,<25,"0,6875",Tidak Layak
1234561034770120,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Sewa,Tidak Ada,Air Sumur,<25,"0,6915",Tidak Layak
1234561034770121,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Sewa,Tidak Ada,PDAM,<25,"0,679",Tidak Layak
1234561034770122,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Sewa,Milik Sendiri,Air Sungai ,<25,"0,671",Tidak Layak
1234561034770123,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Sewa,Sewa,Air Sumur,<25,"0,675",Tidak Layak
1234561034770124,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Sewa,Sewa,PDAM,<25,"0,6625",Tidak Layak
1234561034770125,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Sewa,Milik Sendiri,Air Sumur,<25,"0,6585",Tidak Layak
1234561034770126,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Sewa,Milik Sendiri,PDAM,<25,"0,646",Tidak Layak
1234561034770127,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Milik Sendiri,PDAM,<25,"0,671",Tidak Layak
1234561034770128,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Milik Sendiri,Milik Sendiri,PDAM,<25,"0,621",Tidak Layak
1234561034770129,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Milik Sendiri,Tidak Ada,Air Sumur,<25,"0,6665",Tidak Layak
1234561034770130,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Milik Sendiri,Tidak Ada,PDAM,<25,"0,654",Tidak Layak
1234561034770131,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Milik Sendiri,Sewa,Air Sungai ,<25,"0,6625",Tidak Layak
1234561034770132,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Milik Sendiri,Milik Sendiri,Air Sungai ,<25,"0,646",Tidak Layak
1234561034770133,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Milik Sendiri,Sewa,Air Sumur,<25,"0,65",Tidak Layak
1234561034770134,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Milik Sendiri,Sewa,PDAM,<25,"0,6375",Tidak Layak
1234561034770135,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Milik Sendiri,Air Sumur,<25,"0,6835",Tidak Layak
1234561034770136,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Tidak Ada,Air Sungai ,>=25 s/d <35,"0,7915",Tidak Layak
1234561034770137,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Tidak Ada,Air Sumur,>=25 s/d <35,"0,779",Tidak Layak
1234561034770138,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Tidak Ada,PDAM,>=25 s/d <35,"0,7665",Tidak Layak
1234561034770139,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Sewa,Air Sungai ,>=25 s/d <35,"0,775",Tidak Layak
1234561034770140,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Milik Sendiri,Air Sungai ,>=25 s/d <35,"0,7585",Tidak Layak
1234561034770141,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Sewa,Air Sumur,>=25 s/d <35,"0,7625",Tidak Layak
1234561034770142,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Sewa,PDAM,>=25 s/d <35,"0,75",Tidak Layak
1234561034770143,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Milik Sendiri,Air Sumur,>=25 s/d <35,"0,746",Tidak Layak
1234561034770144,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Sewa,Tidak Ada,Air Sungai ,>=25 s/d <35,"0,7665",Tidak Layak
1234561034770145,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Milik Sendiri,Tidak Ada,Air Sungai ,>=25 s/d <35,"0,7415",Tidak Layak
1234561034770146,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Sewa,Sewa,Air Sungai ,>=25 s/d <35,"0,75",Tidak Layak
1234561034770147,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Sewa,Tidak Ada,Air Sumur,>=25 s/d <35,"0,754",Tidak Layak
1234561034770148,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Sewa,Tidak Ada,PDAM,>=25 s/d <35,"0,7415",Tidak Layak
1234561034770149,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Sewa,Milik Sendiri,Air Sungai ,>=25 s/d <35,"0,7335",Tidak Layak
1234561034770150,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Sewa,Sewa,Air Sumur,>=25 s/d <35,"0,7375",Tidak Layak
1234561034770151,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Sewa,Sewa,PDAM,>=25 s/d <35,"0,725",Tidak Layak
1234561034770152,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Sewa,Milik Sendiri,Air Sumur,>=25 s/d <35,"0,721",Tidak Layak
1234561034770153,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Sewa,Milik Sendiri,PDAM,>=25 s/d <35,"0,7085",Tidak Layak
1234561034770154,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Milik Sendiri,PDAM,>=25 s/d <35,"0,7335",Tidak Layak
1234561034770155,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Milik Sendiri,Milik Sendiri,PDAM,>=25 s/d <35,"0,6835",Tidak Layak
1234561034770156,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Milik Sendiri,Tidak Ada,Air Sumur,>=25 s/d <35,"0,729",Tidak Layak
1234561034770157,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Milik Sendiri,Tidak Ada,PDAM,>=25 s/d <35,"0,7165",Tidak Layak
1234561034770158,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Milik Sendiri,Sewa,Air Sungai ,>=25 s/d <35,"0,725",Tidak Layak
1234561034770159,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Milik Sendiri,Milik Sendiri,Air Sungai ,>=25 s/d <35,"0,7085",Tidak Layak
1234561034770160,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Milik Sendiri,Sewa,Air Sumur,>=25 s/d <35,"0,7125",Tidak Layak
1234561034770161,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Milik Sendiri,Sewa,PDAM,>=25 s/d <35,"0,7",Tidak Layak
1234561034770162,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Milik Sendiri,Air Sumur,>=25 s/d <35,"0,746",Tidak Layak
1234561034770163,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Tidak Ada,Air Sungai ,>=35 s/d <=50,"0,854",Layak
1234561034770164,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Tidak Ada,Air Sumur,>=35 s/d <=50,"0,8415",Layak
1234561034770165,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Tidak Ada,PDAM,>=35 s/d <=50,"0,829",Layak
1234561034770166,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Cukup,Numpang,Sewa,Air Sungai ,>=35 s/d <=50,"0,8375",Layak
